LCA stage,Contribution,Contribution type,Expense,Amount per FU,contribution unit,Data type,EF,EF unit,Source & rationale,GHG [gram CO2e],,
S3 - Inbound transportation ,Containers,process,$0.03,4.14E-04,tkm,secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",0.0206,,
S3 - Inbound transportation ,TamperBand,process,$0.03,2.43E-04,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",0.0121,,
S3 - Inbound transportation ,Slip Sheet,process,$0.03,3.73E-04,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",0.0186,,
S3 - Inbound transportation ,Strecht Wrap,process,$0.03,7.72E-04,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",0.0385,,
S3 - Inbound transportation ,Ink/Adhesive glues,process,$0.03,2.57E-06,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",0.0001,,
S4 - Manufacturing,Electricity sourced by Hydro,Activity,$0.03,5.44E-02,kWh,primary/Secondary,0.00523,kg CO2/kWh,"SimaPro:(Ecoinvent, Electricity,hydropower,at reservoir power plant/ CH S). Vermont Waterbury dam uses a reservoir type hydro plant/ [5]",0.285,,
S4 - Manufacturing,Electricity sourced by Nuclear,Activity,$0.03,5.89E-02,kWh,primary/Secondary,0.012,kg CO2/kWh,"SimaPro:(Ecoinvent, Electricity, nuclear, at power plant boiling water reactor/US S). Vermont Yankee Nuclear Power Plant uses a boiling water reactor. [4]",0.706,,
S4 - Manufacturing,Electricity sourced by Oil  ,Activity,$0.03,4.46E-04,kWh,primary/Secondary,0.328,kg CO2/kWh,"SimaPro:(Ecoinvent, Heavy fuel oil, burned in power plant/ RER S)",0.146,,
S4 - Manufacturing,Electricity sourced by Natural Gas ,Activity,$0.03,4.46E-04,kWh,primary/Secondary,0.234,kg CO2/kWh,"SimaPro:(Ecoinvent, Natural gas, burned in power plant/NPCC S)",0.104,,
S4 - Manufacturing,Electricity sourced by Wood ,Activity,$0.03,4.46E-03,kWh,primary/Secondary,0.0381,kg CO2/kWh,"SimaPro:(Ecoinvent, Electricity, wood, at distillery/CH S)",0.170,,
S4 - Manufacturing,Electricity sourced by Methane ,Activity,$0.03,8.92E-04,kWh,primary/Secondary,0.147,kg CO2/kWh,"SimaPro:(Ecoinvent, Electricity, biowaste, at waste incineration plant, allocation price/ CH S)",0.131,,
S4 - Manufacturing,Electricity sourced by Wind ,Activity,$0.03,2.55E-04,kWh,primary/Secondary,0.0112,kg CO2/kWh,"SimaPro:(Ecoinvent,Electricity, at wind power plant/RER S)",0.003,,
S4 - Manufacturing,Electricity sourced by Solar ,Activity,$0.03,1.27E-04,kWh,primary/Secondary,0.0474,kg CO2/kWh,"SimaPro:(Ecoinvent, Electricity, production mix photovoltaic, at plant/US S)",0.006,,
S4 - Manufacturing,Electricity sourced by Other ,Activity,$0.03,7.77E-03,kWh,primary/Secondary,0.48,kg CO2/kWh,"using simapro, USLCI, Electricity at grid, NEWE, 2008, RNA U. Assumed purchased power is from the same North East Region",3.731,,
S4 - Manufacturing,Natural gas use in manufacturing at St Albans Plant,Activity,$0.03,5.55E-03,m3,Secondary,2.41,kg CO2/m3,"using simapro, USLCI, Natural gas combusted in industrial equipment RNA",13.371,,
S4 - Manufacturing,Oil use in manufacturing at Waterbury Plant,Activity,$0.03,2.86E-06,m3,Secondary,3.55,kg CO2/kg,"using simapro, Ecoinvent, Heavy fuel oil, burned in refinery furnace RERS, density of oil is 778 kg/m3 therefore multiply volume by density",7.887,,
S5 - Outbound transportation,Ice Cream to distribution center #1 on 40ton truck,material,$0.03,7.01E-01,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",34.918,,
S5 - Outbound transportation,Ice Cream to distribution center #2 on 40ton truck,material,$0.03,7.01E-01,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",34.918,,
S5 - Outbound transportation,Ice Cream to retail stores on truck,material,$0.03,8.86E-02,tkm,Secondary,0.0498,kg CO2e/tkm,"SimaPro:(ELCD, Articulated lorry transport, Euro 0,1,2,3,4 mix, 40t total weight, 27t max payload RER S)",4.414,,
S5 - Outbound transportation,Ice Cream Retail Store to Consumer,,$0.03,5.15E-01,personkm,Secondary,0.181,kg CO2e/personkm,"SimaPro:(Ecoinvent, Transport, passenger car/ RER S)",0.093,,
S5 - Outbound transportation,Ice Cream Production Plant to Landfill on Municipal Waste Collection Truck,material,$0.03,6.09E-05,tkm,Secondary,1.31,kg CO2e/tkm,"Sima Pro: (Ecoinvent, Transport, municipal waste collection, lorry 21t/CH S). I assumed that a typical 21 ton garbage truck is used to transport waste to the landfill. ",0.080,,
S5 - Outbound transportation,Ice Cream Production Plant to incinerator on Municipal Waste Collection Truck,material,$0.03,2.79E-04,tkm,Secondary,1.31,kg CO2e/tkm,"Sima Pro: (Ecoinvent, Transport, municipal waste collection, lorry 21t/CH S). I assumed that a typical 21 ton garbage truck is used to transport waste to the landfill. ",0.366,,
S5 - Outbound transportation,Ice Cream Production Plant to Recycler on Municipal Waste Collection Truck,material,$0.03,1.11E-03,tkm,Secondary,1.31,kg CO2e/tkm,"Sima Pro: (Ecoinvent, Transport, municipal waste collection, lorry 21t/CH S). I assumed that a typical 21 ton garbage truck is used to transport waste to the landfill. ",1.455,,
S5 - Outbound transportation,Consumer Waste to Landfill on Municipal Waste Collection Truck,material,$0.03,2.28E-03,tkm,Secondary,1.31,kg CO2e/tkm,"Sima Pro: (Ecoinvent, Transport, municipal waste collection, lorry 21t/CH S). I assumed that a typical 21 ton garbage truck is used to transport waste to the landfill. ",2.989,,
S6 - Retailing ,Refrigeration at Distribution Center 1,Activity ,$0.03,1.06E-01,kWh,secondary,0.779,kg CO2/kWh,"using simapro, electricity at grid for the US, USLCI",82.739,,
S6 - Retailing,Refrigeration at Distribution Center 2,Activity ,$0.03,1.06E-01,kWh,secondary,0.779,kg CO2/kWh,"using simapro, electricity at grid for the US, USLCI",82.739,,
S6 - Retailing,Refrigeration at retail store,Activity ,$0.2,3.95E-02,kWh,secondary,0.779,kg CO2/kWh,"using simapro, electricity at grid for the US, USLCI",30.793,,
